spot@sudeeps-mbp streaming-02-multiple-processes % python3 process_streaming_harinyapotluri.py > out9.txt
2024-05-15 12:39:10,598 - INFO - ===============================================
2024-05-15 12:39:10,598 - INFO - Starting fake streaming process.
2024-05-15 12:39:10,598 - INFO - Starting to stream data from SAT__College_Board__2010_School_Level_Results_20240506.csv to ('localhost', 9999).
2024-05-15 12:39:10,598 - INFO - Opened for reading: SAT__College_Board__2010_School_Level_Results_20240506.csv.
2024-05-15 12:39:10,598 - INFO - Opened for writing: out9.txt.
2024-05-15 12:39:10,599 - INFO - Skipped header row: ['DBN', 'School Name', 'Number of Test Takers', 'Critical Reading Mean', 'Mathematics Mean', 'Writing Mean']
2024-05-15 12:39:10,601 - INFO - Sent: b'[01M292, Henry Street School for International Studies , 31, 391, 425, 385]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,601 - INFO - Sent: b'[01M448, University Neighborhood High School , 60, 394, 419, 387]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,601 - INFO - Sent: b'[01M450, East Side Community High School , 69, 418, 431, 402]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,602 - INFO - Sent: b'[01M458, SATELLITE ACADEMY FORSYTH ST , 26, 385, 370, 378]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,602 - INFO - Sent: b'[01M509, CMSP HIGH SCHOOL , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,602 - INFO - Sent: b'[01M515, Lower East Side Preparatory High School , 154, 314, 532, 314]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,602 - INFO - Sent: b'[01M539, New Explorations into Sci, Tech and Math HS , 47, 568, 583, 568]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,602 - INFO - Sent: b'[01M650, CASCADES HIGH SCHOOL , 35, 411, 401, 401]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,603 - INFO - Sent: b'[01M696, BARD HIGH SCHOOL EARLY COLLEGE , 138, 630, 608, 630]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,603 - INFO - Sent: b'[02M047, AMERICAN SIGN LANG ENG DUAL , 11, 405, 415, 385]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,603 - INFO - Sent: b'[02M288, FOOD AND FNANCE HIGH SCHOOL , 50, 422, 412, 407]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,603 - INFO - Sent: b'[02M294, HIGH SCHOOL FOR HIST AND COMM , 51, 382, 364, 366]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,603 - INFO - Sent: b'[02M296, High School of Hospitality Management , 43, 397, 415, 391]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,604 - INFO - Sent: b'[02M298, PACE HIGH SCHOOL , 71, 424, 448, 423]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,604 - INFO - Sent: b'[02M300, Urban Assembly School of Design and Construction , 49, 405, 446, 415]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,604 - INFO - Sent: b'[02M303, The Facing History School , 59, 381, 373, 377]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,604 - INFO - Sent: b'[02M305, Urban Assembly Academy of Government and Law , 48, 411, 406, 411]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,604 - INFO - Sent: b'[02M308, LOWER MANHATTAN ARTS ACADEMY , 35, 409, 381, 412]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,604 - INFO - Sent: b'[02M313, The James Baldwin School , 45, 421, 419, 394]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,604 - INFO - Sent: b'[02M316, Urban Assembly School of Business for Young Women , 52, 401, 409, 391]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,605 - INFO - Sent: b'[02M374, GRAMERCY ARTS HIGH SCHOOL , 49, 395, 376, 386]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,605 - INFO - Sent: b'[02M376, NYC iSchool , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,605 - INFO - Sent: b'[02M400, HIGH SCHOOL ENVRNMNTL STUDIES , 216, 465, 480, 448]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,605 - INFO - Sent: b'[02M407, Institute for Collaborative Education , 42, 484, 478, 472]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,605 - INFO - Sent: b'[02M408, Professional Performng Arts School , 69, 495, 465, 499]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,605 - INFO - Sent: b'[02M411, Baruch College Campus High School , 96, 523, 583, 528]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,606 - INFO - Sent: b'[02M412, New York City Laboratory School Collab Studies , 108, 561, 597, 567]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,606 - INFO - Sent: b'[02M413, SCHOOL OF THE FUTURE , 79, 475, 488, 466]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,606 - INFO - Sent: b'[02M414, NEW YORK CITY MUSEUM SCHOOL , 90, 454, 448, 435]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,606 - INFO - Sent: b'[02M416, ELEANOR ROOSEVELT HIGH SCHOOL , 122, 555, 596, 567]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,606 - INFO - Sent: b'[02M418, Millennium High School , 140, 512, 554, 523]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,606 - INFO - Sent: b'[02M419, LANDMARK SCHOOL , 47, 369, 370, 359]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M420, HIGH SCHOOL HLTH PROF HUMAN , 250, 446, 458, 440]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M425, HIGH SCHOOL LEADERSHIP PUB SVC , 74, 419, 429, 406]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M429, LEGACY SCH INTEGRATED STUDIES , 31, 379, 356, 354]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M439, MANHATTAN VILLAGE ACADEMY , 90, 465, 479, 472]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M440, Bayard Rustin High School Humanities , 136, 387, 394, 379]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M445, Seward Park High School , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M449, VANGUARD HIGH SCHOOL , 54, 367, 395, 373]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M459, MANHATTAN INTERNATIONAL HIGH SCHOOL , 31, 418, 463, 415]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M460, WASHINGTON IRVING HIGH SCHOOL , 163, 381, 385, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M473, YABC at Washington Irving High School , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M475, STUYVESANT HIGH SCHOOL , 804, 674, 735, 678]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M489, HS of Economics And Finance , 147, 451, 503, 453]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M500, UNITY HIGH SCHOOL , 31, 371, 369, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M519, TALENT UNLIMITED HIGH SCHOOL , 124, 465, 454, 461]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M520, MURRY BERGTRAUM HIGH SCHOOL , 287, 411, 439, 396]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M529, Jacqueline Kennedy Onassis High School , 88, 420, 424, 398]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M531, NEW YORK CITY PUB SCH REP COMP , 32, 415, 405, 397]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M535, Park West High School , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M542, MANHATTAN BRIDGE HIGH SCHOOL , 31, 345, 380, 325]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M543, NEW DESIGN HIGH SCHOOL , 74, 390, 385, 387]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M544, INDEPENDENCE HIGH SCHOOL , 16, 404, 419, 395]' on port 9999. Hit CTRL-c to stop.
